name,player_id,k_percent_Breaking,k_percent_Fastball,k_percent_Offspeed,put_away_Breaking,put_away_Fastball,put_away_Offspeed,whiff_percent_Breaking,whiff_percent_Fastball,whiff_percent_Offspeed,woba_Breaking,woba_Fastball,woba_Offspeed
James Wood,695578,38.75953508077571,22.183080916919348,24.724070526706942,22.334660640115597,21.791676618357226,16.51979212514375,45.98630341953166,18.59312983886556,24.160401739348742,0.4044550799264098,0.4557573852690241,0.3299075583476272
Jared Triolo,669707,30.748633275440486,18.007951396412146,9.95134925112566,18.850873910454204,21.4903182599866,10.186070409781268,40.66243318398293,18.011404645082894,21.71243907670685,0.2850945519802915,0.2830658743464422,0.3082418127191639
Jarred Kelenic,672284,35.224161243015594,32.02473903872682,26.813483094080027,24.730104082742766,30.72475095459979,23.512831670868632,38.59302358098217,44.68783507262316,39.250929740304976,0.2980849812465889,0.1728741300401217,0.2700418420943388
Jarren Duran,680776,29.49942916359809,16.363880686570955,19.066347778630345,29.584660647910983,19.132295738825725,25.380040219198968,28.35281435475293,20.349202086079725,26.153292358119973,0.2640111936657468,0.3360170961909882,0.2730936520624252
Jason Heyward,518792,14.44040328086952,8.813875294665598,16.40186588921571,11.536461000783104,11.951968694340954,12.269456605307798,17.37110593161517,9.443778886450987,20.540976036565294,0.3202403445646663,0.2595390834094632,0.3087627881263449
Jasson Dominguez,691176,47.92099923130133,26.94087144092827,16.51858867775785,35.90600286761705,17.943194814282624,13.591042225434014,44.45547734929603,25.63033705658364,30.01246885841661,0.323343442058623,0.4012643369458273,0.2996600519149398
Javier Baez,595879,21.79533084554817,19.94859073169602,15.359945036080548,19.610134618695024,20.96529688418467,13.216578490022997,35.961937508933524,20.867640076313062,19.9949397105127,0.3326365916988766,0.2851819692821358,0.3249149840800663
Javier Sanoja,691594,26.14957029556247,13.198408092947806,31.792785256918656,22.525859667245896,17.711083727482208,21.40941247684951,32.35884926555493,10.427428273689545,37.8842073118303,0.3638490064486139,0.3476003628660361,0.3078148518519111
Jazz Chisholm Jr.,665862,38.30921474213268,23.931949928588143,33.8809191951052,25.97414493806038,21.040490057230045,22.250565982658628,47.75185290866217,28.01929991802913,35.50551557197832,0.2586647045051552,0.3280762132889441,0.3202367115103443
Jeff Mcneil,643446,26.72114893708647,12.097668609553748,13.721973229752956,18.195421996319823,11.594158632265035,11.641651512667543,28.37727507181737,6.151550009623652,22.491068167908946,0.2775079669244263,0.4498906424124103,0.3054597160332135
Jeimer Candelario,600869,47.52719497241526,18.63996042652164,32.92028285832887,25.999404301569577,13.94596360731053,20.140581397071404,46.010003153798685,17.32465740734865,37.3121999688012,0.2680199666770324,0.422492173757287,0.3313326510427533
Jeremy Pena,665161,13.624068446438766,10.654685284712205,18.022426809924443,14.02832940674055,14.220062116503057,17.13684668804389,28.100717640071025,8.541592291738453,26.94256340721506,0.3129843696089195,0.4801018544021864,0.3512929485764522
Jesse Winker,608385,24.54052706510784,18.6586338478648,21.024977527067964,13.779867705401957,16.2784543014107,16.097945559043115,24.60434491464528,23.23431045000295,26.149677925483186,0.3900267471889195,0.3478905369893991,0.3809654417400242
Jesus Sanchez,660821,30.11798096248273,14.247465482760523,30.384971452294952,22.309851798945196,9.132061506457996,22.470191786626646,35.22342455954556,31.05267848792364,28.22045813516471,0.2496707277813484,0.2231001776107711,0.2752707748797931
Jhonkensy Noel,678877,26.867822037157005,31.382510792430956,20.45678210830812,19.239828516181216,26.144772153609654,19.43646701349685,35.681157148245475,22.371405780121044,32.84547156521931,0.2518914962005774,0.2435288340984191,0.178519513615108
Jo Adell,666176,25.228496760166824,20.189447007212483,22.161539434510857,15.895612687493992,21.66603008419161,20.658730664875478,33.33872484940714,20.206006004929154,28.28326544586151,0.5584482723415788,0.1725518668774034,0.2006173946459001
Joc Pederson,592626,16.969235929209745,17.089656536352734,25.72035786206618,15.115489409554096,19.58525526164329,25.97760121089909,26.956700666328185,16.210990523563186,28.761153328094704,0.2501410661215381,0.2559354444019434,0.0616231292286896
Joey Bart,663698,29.643989764735498,22.75274293685524,22.319224592859182,29.372018869831,30.306373847229644,16.00506342573986,39.08875784695396,24.271367077378088,32.61985579469256,0.1273196985630947,0.3972845519140796,0.2943331021863141
Joey Ortiz,687401,15.649160454323184,17.935377668372837,27.698055290955,14.90887645197596,18.35587828608997,24.121783172139136,18.7724821962737,14.484692124046736,28.96448093495136,0.2462146417994121,0.2646570898535133,0.2599716215024192
Johan Rojas,679032,30.432078718357538,39.8044870065969,24.924985173824457,21.991836383030524,23.954999129251306,17.28023216342213,37.94917191164337,23.057135145453888,30.5073604855121,0.3038405104203457,0.3624342409528854,0.3070920333413471
