Name,MLBAM_ID,Putaway vs RHB,Putaway vs LHB,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,FIP-,Stuff+,K%,BB%,IP,Matched_Name,Match_Type
Will Warren,687370,SL,SL,0.26,0.57807309,0.64957265,0.82183908,0.40079893,0.63687151,0.09561753,0.31075697,76.7388043622086,100.41672,0.27932961,0.09497207,41.0,Will Warren,Exact
Yusei Kikuchi,660286,SL,SL,0.27291667,0.6561086,0.6259542,0.87241379,0.47939262,0.61702128,0.09297297,0.26594595,106.115240702615,94.5021521739131,0.21276596,0.1106383,54.0,Yusei Kikuchi,Exact
Yoshinobu Yamamoto,808968,SF,SF,0.33534137,0.67073171,0.5748503,0.81363636,0.39709443,0.60301508,0.13542926,0.30229746,75.2059569050482,94.8621216041397,0.29648241,0.08040201,51.0,Yoshinobu Yamamoto,Exact
Shota Imanaga,808969,4S,4S,0.35326087,0.75617284,0.68461538,0.82040816,0.46820809,0.66298343,0.12265512,0.25685426,114.966955913763,99.2947413793103,0.1878453,0.07734807,44.2,Shota Imanaga,Exact
Brendon Little,663893,SL,CH,0.3878327,0.56435644,0.2745098,0.84210526,0.27747253,0.58426966,0.22802198,0.37912088,51.71898535640631,120.320388888889,0.37078652,0.11235955,21.1,Brendon Little,Exact
Martín Pérez,527048,SI,CH,0.21714286,0.62937063,0.68421053,0.81111111,0.44968553,0.61445783,0.09090909,0.28213166,88.5848509442847,75.4527044025157,0.21686747,0.13253012,20.0,Martín Pérez,Exact
Zach Eflin,621107,CU,CH,0.33039648,0.67379679,0.73333333,0.86507937,0.45169082,0.64347826,0.08937198,0.25603865,129.68629661148,95.1140435835351,0.14782609,0.02608696,28.1,Zach Eflin,Exact
Joey Cantillo,676282,CU,CH,0.22707424,0.62433862,0.67307692,0.75423729,0.45215311,0.54,0.11004785,0.31100478,115.591949337028,91.1771712158809,0.27,0.12,22.0,Joey Cantillo,Exact
Casey Mize,663554,SF,SL,0.32515337,0.69343066,0.60377358,0.83157895,0.45666667,0.70658683,0.12333333,0.29666667,97.05449281,99.3633443708609,0.20958084,0.05389222,42.2,Casey Mize,Exact
Jameson Taillon,592791,FC,CH,0.33953488,0.64657534,0.66438356,0.87711864,0.4591195,0.71921182,0.09811321,0.29559748,134.710267292004,98.4546582278481,0.20689655,0.04433498,49.2,Jameson Taillon,Exact
Clarke Schmidt,657376,SL,CH,0.29285714,0.64912281,0.5,0.86486486,0.4488189,0.68382353,0.11984283,0.29862475,115.050808522888,99.0253648915187,0.22058824,0.125,32.2,Clarke Schmidt,Exact
Tobias Myers,668964,4S,SL,0.32512315,0.72121212,0.77272727,0.91596639,0.44836957,0.57291667,0.06793478,0.21467391,111.435877887537,89.0076630434783,0.15625,0.10416667,20.0,Tobias Myers,Exact
